"Training Data Accuracy","Testing Data Accuracy"
"0.087167","0.084900"
"0.917133","0.918500"
"0.930950","0.925400"
"0.940733","0.939600"
"0.943300","0.938800"
"0.950150","0.943900"
"0.954250","0.946400"
"0.956700","0.948100"
"0.954833","0.945100"
"0.960733","0.950000"
"0.960367","0.949200"
"0.962583","0.952300"
"0.963317","0.951800"
"0.965367","0.953900"
"0.963233","0.951500"
"0.965133","0.953200"
"0.962717","0.952400"
"0.968200","0.953000"
"0.967650","0.953900"
"0.968650","0.954600"
"0.968450","0.951400"
"0.970233","0.953700"
"0.969467","0.953200"
"0.970000","0.954700"
"0.968817","0.953400"
"0.970517","0.954500"
"0.970833","0.954600"
"0.971567","0.954200"
"0.972433","0.953700"
"0.972550","0.954500"
"0.971867","0.954800"
